name,mean,std,min,max,kurtosis,skewness,median
"wind_data_37.25,123.5",6.855553787497077,3.453389912363733,0.727286850705163,19.1900419329483,-0.22047890468276998,0.445382417724495,6.66265264229384
"wind_data_37.25,123.75",6.825672949392768,3.445038774920801,0.639663815138624,19.1111645239913,-0.16413671188412948,0.44911423108075815,6.5866002761190146
"wind_data_37.25,123",7.008221316161799,3.561307793464628,0.365265772429118,19.5702485163395,-0.3355922840890426,0.4068162683663524,6.531478170218785
"wind_data_37.25,124.25",6.675422342278658,3.41711910027218,0.524531263289331,18.2912313873672,-0.15012048938554878,0.44842354652197175,6.433515371659805
"wind_data_37.25,124.5",6.577864757722366,3.399422964157629,0.598601928034291,17.6835983607128,-0.16621921678391072,0.4626914103789396,6.30397380861703
"wind_data_37.25,124",6.742271262488608,3.413356476296689,0.610931755185696,18.6529329982583,-0.15754798491586852,0.4384868232480314,6.60580072947571
"wind_data_37.5,123.25",6.874322285675552,3.485720266079717,0.433666321116858,19.32803191988,-0.3227887288459237,0.3915443148939078,6.55694770986274
"wind_data_37.5,123.5",6.839165596479139,3.472709635519584,0.0909408603171681,19.37263060847,-0.3072536625727911,0.3890968669799423,6.62079386763732
"wind_data_37.5,123.75",6.782675506136646,3.442937614016409,0.543896561232182,19.2244920772746,-0.278454262487712,0.3958868017709229,6.57544515121373
"wind_data_37.5,123",6.918351312279561,3.4998657248028535,0.330510623515802,19.1320341267179,-0.34216261175495877,0.3860016916377229,6.689623099563935
"wind_data_37.5,124.25",6.600365145437841,3.4109561336854304,0.28968089670632,18.6378130532414,-0.2068571627580864,0.427529501624406,6.414544915312105
"wind_data_37.5,124.5",6.497453119570436,3.4065236065927156,0.145120485531115,18.0800718627669,-0.2000326002246493,0.4403696850234744,6.3375409956867355
"wind_data_37.5,124",6.663754830031419,3.3964053193860795,0.508458994185493,18.8808951755999,-0.24009706755519789,0.4027244234657785,6.51043158466158
"wind_data_37.75,123.25",6.80933730056564,3.491684866469462,0.213835287330788,19.5119987257658,-0.3356897372747021,0.36108831910364875,6.648681621866615
"wind_data_37.75,123.5",6.752100207974879,3.4757311265029025,0.111149774034744,19.5173321912178,-0.3170057712014085,0.3533421120962514,6.693592598603945
"wind_data_37.75,123.75",6.68548687608245,3.4521543794460956,0.142405520769558,19.4423586541028,-0.2786405712477551,0.36274327912957555,6.55456955736992
"wind_data_37.75,123",6.8146730432677005,3.4744313402847506,0.278333162174204,19.2794117220067,-0.3339597524469835,0.36141655899125563,6.8360487319766
"wind_data_37.75,124.25",6.531657858900105,3.428014717099782,0.395838445502706,19.0177782348896,-0.21466219936880915,0.41659994361579195,6.515476034012585
"wind_data_37.75,124.5",6.396471525220503,3.419508367827094,0.322498747755616,18.4709346907645,-0.1905466163526648,0.4344875925747525,6.25811944143054
"wind_data_37.75,124",6.629874148917007,3.4510365133436283,0.290457434378427,19.403578843505,-0.22715853580703538,0.39030411695770373,6.54502735444452
"wind_data_38,123.25",6.718447718230923,3.493255482812592,0.189379527744797,19.7232973077354,-0.2720159093882457,0.3659531216425299,6.60391977663452
"wind_data_38,123.5",6.653242828426052,3.492620096359518,0.161365996305954,19.6967163501617,-0.2685228695300492,0.3614550945732393,6.553894813015545
"wind_data_38,123.75",6.578702973135786,3.4831242332957735,0.108952985343207,19.6292460798288,-0.24281741788464029,0.35960213859126133,6.522288254683556
"wind_data_38,123",6.737289529606531,3.4827610310320836,0.144010188035293,19.554528523308,-0.2732479984275753,0.3574474135483158,6.678350063499475
"wind_data_38,124.25",6.434648783755788,3.456749772534022,0.117984253055889,19.1950380448593,-0.23860566100586267,0.3961180724723983,6.37747844736868
"wind_data_38,124.5",6.329405764144593,3.454858783428529,0.123232644628553,18.7526376676846,-0.21118974476448837,0.42733949423704953,6.232712197846714
"wind_data_38,124",6.555128270672989,3.503046824608093,0.128127187451471,19.5960169283071,-0.24593747292646384,0.3774260727435984,6.519006117429345
"wind_data_38.25,123.25",6.615356496044853,3.481076683106025,0.238143068614327,19.762294426714,-0.23565581965879812,0.3801486215345972,6.55261221970947
"wind_data_38.25,123.5",6.551241984737211,3.4975343263072785,0.430701372822702,19.8309210912107,-0.2277133361350172,0.3754257818786665,6.457329413601196
"wind_data_38.25,123.75",6.529581905725917,3.5613845551289494,0.265528337812259,19.9768813045077,-0.22702451223484088,0.36326206690185514,6.475967010492015
